objectid,settlementId,settlementNameHeb,settlementNameEng,streetCode,streetNameHeb,streetNameEng,houseNum,floorNo,assetArea,dealAmount,dealId,propertyTypeDescription,dealNatureDescription,assetRoomNum,neighborhood,dealDate,gushNum,parcelNum,subParcelNum,polygonId,sourceorder,E,N,X,Y
2035474,6200,בת ים,BAT YAM,62000607.0,העמל,Ha'Amal,10.0,קרקע,235,1014000,5152607400,בנין,מחסנים,3.2533998186763373,אזור תעשיה,2003-03-12T00:00:00.000Z,7122,58,1,52535844,2.0,34.744724,32.006584,176018.6,657140.84
2033292,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,12.0,רביעית,60,300000,6260481750,דירה,דירה בבית קומות,3.0,אזור תעשיה,2025-07-13T00:00:00.000Z,7120,69,32,53415955,1.0,34.744707,32.009728,176018.48,657489.49
2033285,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,12.0,שניה,55,1760000,6258837500,דירה,דירה בבית קומות,3.0,אזור תעשיה,2025-06-30T00:00:00.000Z,7120,69,19,53415955,1.0,34.744707,32.009728,176018.48,657489.49
2033294,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,12.0,ראשונה,25,87000,6105713350,בנין,משרד,3.2533998186763373,אזור תעשיה,2022-03-29T00:00:00.000Z,7120,69,4,53415955,1.0,34.744707,32.009728,176018.48,657489.49
2033296,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,12.0,ראשונה,25,495000,6065117500,בנין,חנות,3.2533998186763373,אזור תעשיה,2021-08-12T00:00:00.000Z,7120,69,8,53415955,1.0,34.744707,32.009728,176018.48,657489.49
2033283,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,12.0,שלישית,50,1230000,6053250750,דירה,דירה בבית קומות,3.0,אזור תעשיה,2021-02-24T00:00:00.000Z,7120,69,14,53415955,1.0,34.744707,32.009728,176018.48,657489.49
2033287,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,12.0,שניה,66,994000,5964611250,דירה,דירה בבית קומות,3.0,אזור תעשיה,2019-12-10T00:00:00.000Z,7120,69,20,53415955,1.0,34.744707,32.009728,176018.48,657489.49
2033286,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,12.0,ראשונה,25,300000,5754289850,בנין,חנות,3.2533998186763373,אזור תעשיה,2015-02-24T00:00:00.000Z,7120,69,2,53415955,1.0,34.744707,32.009728,176018.48,657489.49
2033284,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,12.0,חמישית,65,388000,5754344300,דירה,דירה בבית קומות,3.0,אזור תעשיה,2014-12-15T00:00:00.000Z,7120,69,18,53415955,1.0,34.744707,32.009728,176018.48,657489.49
2033291,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,12.0,רביעית,49,650000,5502431700,דירה,דירה בבית קומות,3.0,אזור תעשיה,2010-03-01T00:00:00.000Z,7120,69,31,53415955,1.0,34.744707,32.009728,176018.48,657489.49
2033282,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,12.0,שניה,65,119000,5501661500,דירה,דירה בבית קומות,3.0,אזור תעשיה,2010-01-26T00:00:00.000Z,7120,69,12,53415955,1.0,34.744707,32.009728,176018.48,657489.49
2033293,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,12.0,שלישית,49,570000,5453441250,דירה,דירה בבית קומות,3.0,אזור תעשיה,2009-04-20T00:00:00.000Z,7120,69,38,53415955,1.0,34.744707,32.009728,176018.48,657489.49
2033289,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,12.0,חמישית,65,132000,5355817600,דירה,דירה בבית קומות,3.0,אזור תעשיה,2007-06-19T00:00:00.000Z,7120,69,26,53415955,1.0,34.744707,32.009728,176018.48,657489.49
2033290,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,12.0,שלישית,49,342000,5305009550,דירה,דירה בבית קומות,3.0,אזור תעשיה,2006-05-24T00:00:00.000Z,7120,69,30,53415955,1.0,34.744707,32.009728,176018.48,657489.49
2033295,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,12.0,ראשונה,25,157000,5150116650,בנין,דירה בבית קומות,3.2533998186763373,אזור תעשיה,2002-12-02T00:00:00.000Z,7120,69,5,53415955,1.0,34.744707,32.009728,176018.48,657489.49
2033288,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,12.0,שלישית,65,410000,5050423200,דירה,דירה בבית קומות,3.0,אזור תעשיה,2001-01-17T00:00:00.000Z,7120,69,22,53415955,1.0,34.744707,32.009728,176018.48,657489.49
2033137,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,2.0,רביעית,59,1500000,6260404500,דירה,דירה בבית קומות,2.0,אזור תעשיה,2025-07-06T00:00:00.000Z,7120,55,27,52278502,2.0,34.745883,32.01089,176130.14,657617.87
2031004,6200,בת ים,BAT YAM,62000606.0,האורגים,Ha'Orgim,24.0,שביעית,84,1754000,6254000500,בנין,משרד,3.2533998186763373,אזור תעשיה,2025-02-24T00:00:00.000Z,7120,131,0,53329731,2.0,34.743421,32.008119,175896.21,657311.58
2033144,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,2.0,שניה,45,200000,6253708950,דירה,דירה בבית קומות,2.0,אזור תעשיה,2025-02-23T00:00:00.000Z,7120,55,9,52278502,2.0,34.745883,32.01089,176130.14,657617.87
2033261,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,8.0,קרקע,93,2560000,6250293400,דירה,דירה בבית קומות,4.0,אזור תעשיה,2024-12-30T00:00:00.000Z,7120,67,16,53099378,2.0,34.745128,32.010043,176058.41,657524.25
2033242,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,6.0,חמישית,86,2039000,6212819450,דירה,דירה בבית קומות,4.0,אזור תעשיה,2024-10-14T00:00:00.000Z,7120,66,47,52502766,2.0,34.745367,32.010478,176081.19,657572.39
2033139,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,2.0,רביעית,41,1490000,6212677150,דירה,דירה בבית קומות,2.5,אזור תעשיה,2024-10-13T00:00:00.000Z,7120,55,28,52278502,2.0,34.745883,32.01089,176130.14,657617.87
2031023,6200,בת ים,BAT YAM,62000606.0,האורגים,Ha'Orgim,24.0,רביעית,58,1800000,6210131150,דירה,דירה בבית קומות,3.0,אזור תעשיה,2024-07-30T00:00:00.000Z,7120,131,29,53329731,2.0,34.743421,32.008119,175896.21,657311.58
2033275,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,10.0,רביעית,72,2080000,6204514550,דירה,דירה בבית קומות,3.0,אזור תעשיה,2024-04-01T00:00:00.000Z,7120,68,14,52571789,2.0,34.744967,32.009821,176043.09,657499.7
2031022,6200,בת ים,BAT YAM,62000606.0,האורגים,Ha'Orgim,24.0,שלישית,62,2050000,6203176900,דירה,דירה בבית קומות,3.0,אזור תעשיה,2024-03-21T00:00:00.000Z,7120,131,28,53329731,2.0,34.743421,32.008119,175896.21,657311.58
2033243,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,6.0,שישית,85,2200000,6203398800,דירה,דירה בבית קומות,4.0,אזור תעשיה,2024-02-29T00:00:00.000Z,7120,66,49,52502766,2.0,34.745367,32.010478,176081.19,657572.39
2033345,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,16.0,שישית,88,2200000,6202000350,דירה,דירה בבית קומות,4.0,אזור תעשיה,2024-02-19T00:00:00.000Z,7120,76,31,52470326,2.0,34.744266,32.008972,175976.45,657405.83
2033143,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,2.0,ראשונה,45,1368600,6200015800,דירה,דירה בבית קומות,2.0,אזור תעשיה,2023-12-18T00:00:00.000Z,7120,55,7,52278502,2.0,34.745883,32.01089,176130.14,657617.87
2033158,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,4.0,רביעית,64,1411000,6160028900,דירה,דירה בבית קומות,2.0,אזור תעשיה,2023-09-10T00:00:00.000Z,7120,56,22,53301486,2.0,34.745621,32.010642,176105.27,657590.48
2033344,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,16.0,חמישית,103,2330000,6160179000,דירה,דירה בבית קומות,5.0,אזור תעשיה,2023-08-22T00:00:00.000Z,7120,76,30,52470326,2.0,34.744266,32.008972,175976.45,657405.83
2033246,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,6.0,שביעית,115,2400000,6153488350,דירה,דירה בבית קומות,5.0,אזור תעשיה,2023-03-12T00:00:00.000Z,7120,66,50,52502766,2.0,34.745367,32.010478,176081.19,657572.39
2033343,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,16.0,שביעית,91,2975000,6115478900,דירה,דירה בבית קומות,4.0,אזור תעשיה,2022-11-16T00:00:00.000Z,7120,76,29,52470326,2.0,34.744266,32.008972,175976.45,657405.83
2033247,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,6.0,שמינית,91,2320000,6116654950,דירה,דירה בבית קומות,4.0,אזור תעשיה,2022-11-09T00:00:00.000Z,7120,66,51,52502766,2.0,34.745367,32.010478,176081.19,657572.39
2033164,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,4.0,רביעית,59,1555000,6114989750,דירה,דירה בבית קומות,2.0,אזור תעשיה,2022-11-02T00:00:00.000Z,7120,56,28,53301486,2.0,34.745621,32.010642,176105.27,657590.48
2033260,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,8.0,קרקע,99,2180000,6109370600,דירה,דירה בבית קומות,4.0,אזור תעשיה,2022-06-29T00:00:00.000Z,7120,67,16,53099378,2.0,34.745128,32.010043,176058.41,657524.25
2033367,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,18.0,שניה,77,1720000,6107606750,דירה,דירה בבית קומות,4.0,אזור תעשיה,2022-05-18T00:00:00.000Z,7120,77,8,52207414,2.0,34.744082,32.008775,175958.98,657384.06
